iter,v_fun_0,delta_q,norm_delta_q,acc_reward
0,0.0,0.0,0.0,0
10000,1.6449040233930146,-0.056966701029143016,105.73145907313229,-4897
20000,2.206842800031566,-0.10595901346569155,33.79251681026829,-11039
30000,2.3022240889053296,0.03837826157582657,23.447962739373068,-16828
40000,2.4375461961726606,-0.004480824836844289,19.710335736611174,-22061
50000,2.503014835080677,0.024968837282035715,16.083946096417527,-27381
60000,2.5277979431355,0.0121549331241332,14.468767273247954,-32814
70000,2.6169100202772304,-0.017393190007734358,12.885909277260948,-38065
80000,2.660936223657212,0.004793051079493016,11.16476210000688,-43271
90000,2.694540091265159,0.005884096652488531,11.704110466609606,-48813
100000,2.7189390942766427,-0.005323271048945746,10.261525847301746,-55054
110000,2.7250624611804573,-0.007916976577263795,9.544841928186441,-60921
120000,2.7404180505936147,0.007133267560723923,9.49927645695626,-66626
130000,2.7630545232413177,0.0017837700631430182,8.816286942672118,-72110
140000,2.7744350588655893,0.00837938405664874,8.62516494920593,-78588
150000,2.7812775181260387,0.014069438164878349,7.361859458731843,-84337
160000,2.8148952570111865,0.020744429441025444,7.626564870477258,-90405
170000,2.8228402450141554,-0.0015164655087537315,7.2149230684198535,-95317
180000,2.839722913996628,0.06875393465946665,6.713495310745998,-101059
190000,2.841596393792766,0.0032451672168749357,6.590750667029654,-106168
200000,2.847608847754064,-0.011640933156232562,6.736232994452891,-111931
210000,2.8485606380285327,-0.0009167375606163687,6.358035934534045,-117613
220000,2.8481024263965824,0.06872606937436565,6.3345338295913525,-123751
230000,2.8551039165060033,0.009269289426898315,6.484721037936503,-130078
240000,2.859811923937416,0.08899380488002138,6.05359199464321,-135868
250000,2.8627905257485318,-0.004711102454276803,5.733532196545373,-141723
260000,2.8700940774181305,0.0019391580751655323,5.614737869820953,-146851
270000,2.8733611918206097,-0.0018324340867288708,5.259124066642234,-152793
280000,2.874860874386062,0.0636536857867276,4.995154661866026,-158312
290000,2.8780430956539114,0.00022286234320818442,5.023404534598773,-164048
300000,2.882757177009151,-0.0031071283465825897,4.8570551816911705,-168745
310000,2.8841800446341503,-0.0013398320800909135,5.110090679910276,-175213
