episode,score,q_value,men_len
0,8.0,0.0374171127644717,8
1,9.0,0.0374171127644717,17
2,10.0,0.0374171127644717,27
3,11.0,0.0374171127644717,38
4,10.0,0.0374171127644717,48
5,9.0,0.0374171127644717,57
6,10.0,0.0374171127644717,67
7,10.0,0.0374171127644717,77
8,10.0,0.0374171127644717,87
9,9.0,0.0374171127644717,96
10,11.0,0.0374171127644717,107
11,8.0,0.0374171127644717,115
12,10.0,0.0374171127644717,125
13,9.0,0.0374171127644717,134
14,9.0,0.0374171127644717,143
15,12.0,0.0374171127644717,155
16,10.0,0.0374171127644717,165
17,9.0,0.0374171127644717,174
18,18.0,0.0374171127644717,192
19,11.0,0.0374171127644717,203
20,10.0,0.0374171127644717,213
21,10.0,0.0374171127644717,223
22,9.0,0.0374171127644717,232
23,9.0,0.0374171127644717,241
24,10.0,0.0374171127644717,251
25,9.0,0.0374171127644717,260
26,12.0,0.0374171127644717,272
27,10.0,0.0374171127644717,282
28,10.0,0.0374171127644717,292
29,10.0,0.0374171127644717,302
30,10.0,0.0374171127644717,312
31,10.0,0.0374171127644717,322
32,9.0,0.0374171127644717,331
33,10.0,0.0374171127644717,341
34,8.0,0.0374171127644717,349
35,9.0,0.0374171127644717,358
36,9.0,0.0374171127644717,367
37,8.0,0.0374171127644717,375
38,9.0,0.0374171127644717,384
39,10.0,0.0374171127644717,394
40,10.0,0.0374171127644717,404
41,17.0,0.0374171127644717,421
42,9.0,0.0374171127644717,430
43,10.0,0.0374171127644717,440
44,9.0,0.0374171127644717,449
45,9.0,0.0374171127644717,458
46,11.0,0.0374171127644717,469
47,10.0,0.0374171127644717,479
48,9.0,0.0374171127644717,488
49,10.0,0.0374171127644717,498
50,10.0,0.0374171127644717,508
51,9.0,0.0374171127644717,517
52,10.0,0.0374171127644717,527
53,11.0,0.0374171127644717,538
54,10.0,0.0374171127644717,548
55,10.0,0.0374171127644717,558
56,10.0,0.0374171127644717,568
57,9.0,0.0374171127644717,577
58,10.0,0.0374171127644717,587
59,9.0,0.0374171127644717,596
60,9.0,0.0374171127644717,605
61,10.0,0.0374171127644717,615
62,12.0,0.0374171127644717,627
63,9.0,0.0374171127644717,636
64,8.0,0.0374171127644717,644
65,10.0,0.0374171127644717,654
66,10.0,0.0374171127644717,664
67,10.0,0.0374171127644717,674
68,9.0,0.0374171127644717,683
69,9.0,0.0374171127644717,692
70,9.0,0.0374171127644717,701
71,9.0,0.0374171127644717,710
72,11.0,0.0374171127644717,721
73,10.0,0.0374171127644717,731
74,10.0,0.0374171127644717,741
75,13.0,0.0374171127644717,754
76,10.0,0.0374171127644717,764
77,9.0,0.0374171127644717,773
78,9.0,0.0374171127644717,782
79,9.0,0.0374171127644717,791
80,10.0,0.0374171127644717,801
81,10.0,0.0374171127644717,811
82,10.0,0.0374171127644717,821
83,9.0,0.0374171127644717,830
84,9.0,0.0374171127644717,839
85,24.0,0.0374171127644717,863
86,10.0,0.0374171127644717,873
87,10.0,0.0374171127644717,883
88,10.0,0.0374171127644717,893
89,10.0,0.0374171127644717,903
90,8.0,0.0374171127644717,911
91,24.0,0.0374171127644717,935
92,12.0,0.0374171127644717,947
93,10.0,0.0374171127644717,957
94,10.0,0.0374171127644717,967
95,32.0,0.0374171127644717,999
96,10.0,0.0374171127644717,1000
97,17.0,0.36106633317358794,1000
98,9.0,1.677465581792593,1000
99,10.0,3.014480585896969,1000
100,9.0,3.7740858446359633,1000
101,9.0,4.912869111466407,1000
102,11.0,6.086973939871788,1000
103,13.0,7.589259520840645,1000
104,12.0,8.4750794801265,1000
105,11.0,8.841267688184976,1000
106,15.0,9.022083542862534,1000
107,13.0,9.40831973348856,1000
108,20.0,8.721395435360074,1000
109,15.0,8.760016061854362,1000
110,12.0,9.351839952260256,1000
111,10.0,9.184269050356745,1000
112,9.0,9.734300819966197,1000
113,11.0,9.922559418025612,1000
114,13.0,10.04244430629313,1000
115,12.0,9.353329092794656,1000
116,10.0,9.365236513367295,1000
117,18.0,9.338621741521358,1000
118,26.0,9.808579253083467,1000
119,42.0,9.614498211750389,1000
120,46.0,9.825437946042419,1000
121,50.0,9.770290232117475,1000
122,57.0,10.422067127117515,1000
123,67.0,10.905677209021151,1000
124,108.0,11.444946721024811,1000
125,70.0,11.831485259313881,1000
126,76.0,12.100477408000827,1000
127,149.0,12.751684744514526,1000
128,63.0,13.292879222466052,1000
129,75.0,13.796887364399433,1000
130,82.0,13.976641652742028,1000
131,80.0,14.203585705524683,1000
132,106.0,14.766729162345827,1000
133,90.0,15.199831266522407,1000
134,200.0,15.566889298734068,1000
135,77.0,15.747305681970715,1000
136,126.0,15.83874080210924,1000
137,200.0,15.944703932368755,1000
138,79.0,16.111634692659973,1000
139,63.0,16.318183320710062,1000
140,79.0,16.694782813820243,1000
141,77.0,16.655535050016642,1000
142,62.0,16.656807788962126,1000
143,134.0,16.370510633397103,1000
144,68.0,16.373821734195946,1000
145,99.0,16.86749159772098,1000
146,71.0,16.96337690409422,1000
147,100.0,17.08549753590822,1000
148,104.0,17.45655563136935,1000
149,200.0,17.57487650696635,1000
150,94.0,17.882039860254526,1000
151,200.0,17.975645519924164,1000
152,200.0,18.084122928851844,1000
153,189.0,18.067822221612932,1000
154,179.0,18.232771856546403,1000
155,133.0,18.085502480065824,1000
156,80.0,18.31677366474867,1000
157,74.0,18.35048605492115,1000
158,125.0,18.79712124247551,1000
159,158.0,19.013739817857743,1000
160,51.0,19.124895219016075,1000
161,135.0,19.57283850106001,1000
162,45.0,19.678062655603885,1000
163,42.0,18.772337054896354,1000
164,64.0,18.101706962269546,1000
165,200.0,18.508709013783932,1000
166,200.0,18.32637018338442,1000
167,200.0,18.48629337476492,1000
168,200.0,18.681707186853885,1000
169,149.0,19.01258814172745,1000
170,200.0,19.25341169010401,1000
171,129.0,19.59762117547989,1000
172,200.0,19.643871916115284,1000
173,200.0,19.74519150369167,1000
174,183.0,19.941767565512656,1000
175,11.0,19.86755886385441,1000
176,149.0,19.874843544101715,1000
177,13.0,20.168131465554236,1000
178,200.0,20.076793404889106,1000
179,167.0,19.9846729224205,1000
180,200.0,20.16373084564209,1000
181,195.0,20.140557832956315,1000
182,174.0,20.103005194711685,1000
183,179.0,20.132966828632355,1000
184,200.0,19.866035279178618,1000
185,200.0,19.60057878522873,1000
186,198.0,19.619403851485252,1000
187,200.0,19.49987617611885,1000
188,200.0,19.10100397093296,1000
189,181.0,19.355744804883003,1000
190,22.0,19.22656188724041,1000
191,27.0,19.336357981729506,1000
192,163.0,19.521160718655587,1000
193,137.0,18.97087595267296,1000
194,72.0,18.932259286546707,1000
195,149.0,19.320588539648057,1000
196,150.0,19.713898394799234,1000
197,154.0,19.460444076704977,1000
198,151.0,18.949511049699783,1000
199,148.0,18.114072448635103,1000
200,170.0,18.143666671323775,1000
201,160.0,18.521544614076614,1000
202,160.0,18.530726996827127,1000
203,146.0,18.38605810279846,1000
204,172.0,18.262461284446715,1000
205,170.0,18.322998711681365,1000
