episode,score,q_value,men_len
0,9.0,0.01761136004395621,9
1,11.0,0.01761136004395621,20
2,9.0,0.01761136004395621,29
3,9.0,0.01761136004395621,38
4,10.0,0.01761136004395621,48
5,9.0,0.01761136004395621,57
6,10.0,0.01761136004395621,67
7,10.0,0.01761136004395621,77
8,10.0,0.01761136004395621,87
9,9.0,0.01761136004395621,96
10,10.0,0.01761136004395621,106
11,10.0,0.01761136004395621,116
12,11.0,0.01761136004395621,127
13,8.0,0.01761136004395621,135
14,8.0,0.01761136004395621,143
15,10.0,0.01761136004395621,153
16,13.0,0.01761136004395621,166
17,8.0,0.01761136004395621,174
18,10.0,0.01761136004395621,184
19,10.0,0.01761136004395621,194
20,9.0,0.01761136004395621,203
21,9.0,0.01761136004395621,212
22,10.0,0.01761136004395621,222
23,8.0,0.01761136004395621,230
24,10.0,0.01761136004395621,240
25,29.0,0.01761136004395621,269
26,10.0,0.01761136004395621,279
27,15.0,0.01761136004395621,294
28,9.0,0.01761136004395621,303
29,10.0,0.01761136004395621,313
30,17.0,0.01761136004395621,330
31,9.0,0.01761136004395621,339
32,9.0,0.01761136004395621,348
33,10.0,0.01761136004395621,358
34,11.0,0.01761136004395621,369
35,13.0,0.01761136004395621,382
36,10.0,0.01761136004395621,392
37,9.0,0.01761136004395621,401
38,8.0,0.01761136004395621,409
39,10.0,0.01761136004395621,419
40,10.0,0.01761136004395621,429
41,24.0,0.01761136004395621,453
42,10.0,0.01761136004395621,463
43,10.0,0.01761136004395621,473
44,10.0,0.01761136004395621,483
45,10.0,0.01761136004395621,493
46,9.0,0.01761136004395621,502
47,15.0,0.01761136004395621,517
48,9.0,0.01761136004395621,526
49,10.0,0.01761136004395621,536
50,11.0,0.01761136004395621,547
51,9.0,0.01761136004395621,556
52,8.0,0.01761136004395621,564
53,8.0,0.01761136004395621,572
54,11.0,0.01761136004395621,583
55,8.0,0.01761136004395621,591
56,8.0,0.01761136004395621,599
57,9.0,0.01761136004395621,608
58,9.0,0.01761136004395621,617
59,9.0,0.01761136004395621,626
60,9.0,0.01761136004395621,635
61,10.0,0.01761136004395621,645
62,9.0,0.01761136004395621,654
63,10.0,0.01761136004395621,664
64,10.0,0.01761136004395621,674
65,9.0,0.01761136004395621,683
66,8.0,0.01761136004395621,691
67,9.0,0.01761136004395621,700
68,8.0,0.01761136004395621,708
69,9.0,0.01761136004395621,717
70,10.0,0.01761136004395621,727
71,9.0,0.01761136004395621,736
72,9.0,0.01761136004395621,745
73,10.0,0.01761136004395621,755
74,10.0,0.01761136004395621,765
75,9.0,0.01761136004395621,774
76,10.0,0.01761136004395621,784
77,12.0,0.01761136004395621,796
78,10.0,0.01761136004395621,806
79,10.0,0.01761136004395621,816
80,11.0,0.01761136004395621,827
81,10.0,0.01761136004395621,837
82,9.0,0.01761136004395621,846
83,10.0,0.01761136004395621,856
84,9.0,0.01761136004395621,865
85,9.0,0.01761136004395621,874
86,9.0,0.01761136004395621,883
87,10.0,0.01761136004395621,893
88,9.0,0.01761136004395621,902
89,9.0,0.01761136004395621,911
90,8.0,0.01761136004395621,919
91,9.0,0.01761136004395621,928
92,8.0,0.01761136004395621,936
93,10.0,0.01761136004395621,946
94,9.0,0.01761136004395621,955
95,9.0,0.01761136004395621,964
96,9.0,0.01761136004395621,973
97,14.0,0.01761136004395621,987
98,10.0,0.01761136004395621,997
99,8.0,0.01761136004395621,1000
100,10.0,0.787847215718031,1000
101,8.0,2.450910762822628,1000
102,9.0,3.298410725426674,1000
103,9.0,4.127885319924355,1000
104,9.0,5.652189516973496,1000
105,10.0,6.785471007418632,1000
106,10.0,8.5895543192029,1000
107,9.0,9.386021480941773,1000
108,12.0,7.9383109287738804,1000
109,11.0,7.923051276510954,1000
110,10.0,8.480768117713929,1000
111,14.0,9.470541538548469,1000
112,12.0,9.763927008950711,1000
113,10.0,10.593801374316216,1000
114,10.0,11.549255071878433,1000
115,21.0,11.084695650219917,1000
116,19.0,11.942380995321274,1000
117,23.0,11.567044030678272,1000
118,200.0,11.738575604128837,1000
119,23.0,12.19974266076088,1000
120,11.0,13.377899535632134,1000
121,18.0,14.150415577447415,1000
122,200.0,14.263666591858863,1000
123,200.0,14.795007134598494,1000
124,200.0,15.29877740291357,1000
125,200.0,15.579882694292069,1000
126,115.0,15.673306763750315,1000
127,133.0,16.048775289863347,1000
128,127.0,16.07347278892994,1000
129,172.0,15.982345868366957,1000
130,137.0,16.181516493433715,1000
131,145.0,16.778438533347845,1000
132,122.0,16.593834390038253,1000
133,113.0,16.939914837998153,1000
134,163.0,17.607893687933682,1000
135,138.0,18.229588663339616,1000
136,138.0,18.704994661331177,1000
137,149.0,18.758475162374975,1000
138,144.0,18.4816783462286,1000
139,198.0,18.51930378392935,1000
140,169.0,18.972506967115404,1000
141,92.0,18.661276322960852,1000
142,27.0,18.984366134226324,1000
143,47.0,19.00136999402046,1000
144,23.0,19.233281274342538,1000
145,107.0,18.87639373934269,1000
146,15.0,17.879080105161666,1000
147,37.0,17.64228598229885,1000
148,50.0,18.321094130969048,1000
149,58.0,17.947395795297624,1000
150,38.0,18.521062605142593,1000
151,72.0,18.311694173312187,1000
152,66.0,18.39615194644928,1000
153,9.0,18.937361607909203,1000
154,17.0,19.352750443279742,1000
155,112.0,19.43355723733902,1000
156,124.0,20.132976365971565,1000
157,200.0,19.256573003411294,1000
158,200.0,19.14071800444126,1000
159,200.0,19.247719757390023,1000
160,200.0,18.900236121428012,1000
161,200.0,19.46765291724205,1000
162,200.0,19.250418258202075,1000
163,200.0,19.32242152594328,1000
164,200.0,18.6696060816288,1000
165,175.0,18.923504373848438,1000
166,185.0,19.563042967784405,1000
167,200.0,19.996223557138443,1000
168,159.0,20.41561260288954,1000
169,67.0,21.119013845098017,1000
